"""自動車の未来は？""","""1""","""4""","""2""","""4""","""6""","""4""","""25""","""4""","""27""","""4""",,
"""次世代の車の姿は？""","""1""","""4""","""2""","""4""","""6""","""4""","""25""","""4""","""27""","""4""",,
"""将来車はどうなる？""","""1""","""4""","""2""","""4""","""6""","""4""","""25""","""4""","""27""","""4""",,
"""どんな車が実現されるか？""","""1""","""4""","""2""","""4""","""6""","""4""","""25""","""4""","""27""","""4""",,
"""未来の車はどうなってる？""","""1""","""4""","""2""","""4""","""6""","""4""","""25""","""4""","""27""","""4""",,
"""車はどう進化するか？""","""1""","""4""","""2""","""4""","""6""","""4""","""25""","""4""","""27""","""4""",,
"""将来の住宅について""","""10""","""4""","""9""","""4""","""13""","""4""","""13""","""4""","""27""","""4""","""71""","""4"""
"""住宅の未来はどうなりますか？""","""10""","""4""","""9""","""4""","""13""","""4""","""13""","""4""","""27""","""4""","""71""","""4"""
"""未来のヘルスケアについて""","""11""","""4""","""19""","""4""","""88""","""4""","""87""","""4""","""98""","""4""","""214""","""4"""
"""健康管理はどのように変わりますか？""","""11""","""4""","""19""","""4""","""88""","""4""","""87""","""4""","""98""","""4""",,
"""どうやって病気を治す？""","""11""","""4""","""19""","""4""","""88""","""4""","""87""","""4""","""98""","""4""",,
"""病気予防の方法はどうなりますか？""","""11""","""4""","""19""","""4""","""88""","""4""","""87""","""4""","""98""","""4""",,
"""健康管理の方法は？""","""11""","""4""","""19""","""4""","""88""","""4""","""87""","""4""","""98""","""4""",,
"""病院はどうなる？""","""11""","""4""","""19""","""4""","""88""","""4""","""87""","""4""","""98""","""4""",,
"""ロボットはどうなっていますか？""","""12""","""4""","""15""","""4""","""24""","""4""","""31""","""4""","""35""","""4""","""76""","""4"""
"""ロボットはどう進化する？""","""12""","""4""","""15""","""4""","""24""","""4""","""31""","""4""","""35""","""4""","""76""","""4"""
"""どんなロボットが実現できるか？""","""12""","""4""","""15""","""4""","""24""","""4""","""31""","""4""","""35""","""4""","""76""","""4"""
"""次世代ロボットのあり方は？""","""12""","""4""","""15""","""4""","""24""","""4""","""31""","""4""","""35""","""4""","""76""","""4"""
"""ロボットについて""","""12""","""4""","""15""","""4""","""24""","""4""","""31""","""4""","""35""","""4""","""76""","""4"""
"""新しい移動手段は？""","""16""","""4""","""7""","""4""","""26""","""4""","""37""","""4""","""75""","""4""",,
"""乗り物はどうなるの？""","""16""","""4""","""7""","""4""","""26""","""4""","""37""","""4""","""75""","""4""",,
"""乗り物は同のように進化しますか？""","""16""","""4""","""7""","""4""","""26""","""4""","""37""","""4""","""75""","""4""",,
"""将来の移動手段はどうなる？""","""16""","""4""","""7""","""4""","""26""","""4""","""37""","""4""","""75""","""4""",,
"""未来の移動手段""","""16""","""4""","""7""","""4""","""26""","""4""","""37""","""4""","""75""","""4""",,
"""新たな交通手段はありますか？""","""16""","""4""","""7""","""4""","""26""","""4""","""37""","""4""","""75""","""4""",,
"""新しい乗り物は？""","""16""","""4""","""7""","""4""","""26""","""4""","""37""","""4""","""75""","""4""",,
"""未来のエネルギー""","""22""","""4""",,,,,,,,,,
"""将来はどんなエネルギーが活用できますか？""","""22""","""4""",,,,,,,,,,
"""未来のエネルギー活用について教えて""","""22""","""4""",,,,,,,,,,
"""未来はどうなる？""","""32""","""4""","""34""","""4""","""41""","""4""","""107""","""4""","""108""","""4""","""114""","""4"""
"""将来世界はどうなりますか？""","""32""","""4""","""34""","""4""","""41""","""4""","""107""","""4""","""108""","""4""","""114""","""4"""
"""未来はどう変わりますか？""","""32""","""4""","""34""","""4""","""41""","""4""","""107""","""4""","""108""","""4""","""114""","""4"""
"""未来の技術はどうなってる？""","""32""","""4""","""34""","""4""","""41""","""4""","""107""","""4""","""108""","""4""","""114""","""4"""
"""広告ビジネスの将来""","""81""","""4""",,,,,,,,,,
"""将来はどんなサービスがありますか？""","""81""","""4""","""82""","""4""","""83""","""4""","""113""","""4""","""134""","""4""","""192""","""4"""
"""将来はどんなサービスが受けられる？""","""81""","""4""","""82""","""4""","""83""","""4""","""113""","""4""","""134""","""4""","""192""","""4"""
"""未来のビジネス""","""81""","""4""","""82""","""4""","""83""","""4""","""113""","""4""","""134""","""4""","""192""","""4"""
"""環境問題はどのように解決できる？""","""103""","""4""","""142""","""4""","""146""","""4""","""206""","""4""","""222""","""4""",,
"""環境問題はどうなる？""","""103""","""4""","""142""","""4""","""146""","""4""","""206""","""4""","""222""","""4""",,
"""観光はどのように変わりますか？""","""122""","""4""","""123""","""4""",,,,,,,,
"""未来の観光の姿は？""","""122""","""4""","""123""","""4""",,,,,,,,
"""世界の課題は解決されますか？""","""127""","""4""","""142""","""4""","""146""","""4""","""206""","""4""","""222""","""4""",,
"""災害救助の方法はどう変わります？""","""191""","""4""","""222""","""4""","""271""","""4""",,,,,,
"""災害にどう対処しますか？""","""191""","""4""","""222""","""4""","""271""","""4""",,,,,,
"""子育て対策の未来はどうなってる？""","""195""","""4""","""198""","""4""","""218""","""4""",,,,,,
"""子育ての変化は？""","""195""","""4""","""198""","""4""","""218""","""4""",,,,,,
"""家事は楽になる？""","""217""","""4""","""276""","""4""",,,,,,,,
"""家事支援サービスはありますか？""","""217""","""4""","""276""","""4""",,,,,,,,
"""介護は楽になりますか？""","""267""","""4""","""276""","""4""",,,,,,,,
"""未来の介護はどうなるの？""","""267""","""4""","""276""","""4""",,,,,,,,
